lat,lon,limit,deck,direct
23.79157,120.23678,70,,西向東
23.76108,120.24613,60,,南往北
23.737625,120.25452,90,,北向南
23.789198,120.27038,70,,西向東
23.788769,120.271,60,,南向北
23.796333,120.278656,60,,北向南
23.655493,120.24059,60,,東向西
23.698496,120.25464,60,,南向北
23.738638,120.25528,60,,北向南
23.721605,120.25655,60,,北向南
23.720882,120.25662,60,,南向北
23.665485,120.25901,50,,北向南
23.684896,120.30063,100,,西向東
23.685007,120.3066,100,,東向西
23.708206,120.324425,70,,南北雙向
23.703785,120.20016,50,,北向南
23.669996,120.20882,60,,南北雙向
23.727283,120.220314,90,,北向
23.655033,120.288956,60,,東西雙向
23.611443,120.30748,60,,南北雙向
23.618847,120.309364,50,,南北雙向
23.684612,120.320786,70,,南北雙向
23.628597,120.33531,50,,南北雙向
23.658632,120.337105,60,,東西雙向
23.637644,120.21172,50,,東西雙向
23.630302,120.22754,60,,北向南
23.647627,120.26395,60,,東西雙向
23.585243,120.15164,90,,南向
23.623926,120.16689,70,,南北雙向
23.59391,120.25645,50,,東西雙向
23.496428,120.38343,50,,雙向
23.455318,120.24383,50,,雙向
23.461458,120.28565,50,,雙向
23.606342,120.45609,50,,雙向
23.604876,120.4908,60,,雙向
23.549925,120.42705,60,,雙向
23.549187,120.43407,50,,雙向
23.578737,120.43957,70,,雙向
23.520376,120.440254,50,,雙向
23.561493,120.46521,50,,雙向
23.522432,120.47472,50,,雙向
23.523249,120.35586,60,,南向北
23.48825,120.28789,50,,雙向
23.539839,120.292694,50,,南向北
23.441223,120.16569,90,,往北
23.503832,120.17244,90,,往南
23.45666,120.19099,70,,雙向
23.462511,120.21225,50,,雙向
23.398693,120.30153,50,,雙向
23.40855,120.38359,70,,雙向
23.433348,120.39813,50,,雙向
23.459585,120.47146,50,,雙向
23.451096,120.56849,60,,雙向
23.382618,120.57901,40,,雙向
23.55886,120.55435,60,,北向南
23.357521,120.59161,40,,雙向
22.674007,120.44821,60,,雙向
22.652126,120.45504,70,,雙向
22.67714,120.47336,40,,雙向
22.705185,120.479195,60,,雙向
22.640203,120.48557,50,,雙向
22.695175,120.4935,60,,雙向
22.654818,120.497734,60,,雙向
22.705809,120.499374,70,,雙向
22.702332,120.51959,60,,雙向
22.563972,120.52917,50,,雙向
22.526873,120.54353,60,,雙向
22.53974,120.593346,60,,雙向
22.471855,120.46381,50,,雙向
22.495436,120.4854,60,,雙向
22.454191,120.490395,70,,雙向
21.95873,120.76707,60,,雙向
22.63913,120.4539,70,,北向
22.607008,120.455376,60,,北向
22.584911,120.46638,50,,東向
22.574972,120.48161,50,,雙向
22.61914,120.48206,60,,南向60北向70
22.568169,120.483116,50,,西向
22.578241,120.484116,50,,北向
22.597172,120.488625,50,,雙向
22.589718,120.49234,50,,雙向
22.591784,120.49876,60,,雙向
22.720186,120.53471,50,,雙向
22.693243,120.54267,60,,雙向
22.71414,120.55233,50,,雙向
22.712639,120.585976,60,,雙向
22.736715,120.489494,50,,雙向
22.76752,120.47836,50,,東向
22.816883,120.506744,50,,雙向
